,q,ch,a,answer_mcq,score
0,1. Pasar uang merupakan pertemuan antara permintaan dan penawaran kredit  ,"a.Jangka pendek
b.Jangka menengah
c.Jangka Panjang
d. jangka sedang
e.jangka tidak pasti",Jawaban : A ,"Based on the provided context, which is Undang-Undang Republik Indonesia Nomor 4 Tahun 2",1
1,"2. Selain Bursa Efek Jakarta, Indonesia pernah mempunyai bursa efek di  ","a.Medan
b.Semarang
c.Surabaya 
d.Bandung
e. Makassar",Jawaban : C ,"Bursa Efek di Indonesia dapat ditemukan di Medan, Semarang, Surabaya, Bandung, dan Makassar selain Bursa Efek Jakarta. Hal ini disebabkan oleh adanya izin usaha dari Otoritas Jasa Keuangan yang diperlukan untuk Bursa Efek agar dapat beroperasi (Pasal 2 Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 3/POJK.04/2021 Tentang Penyelenggaraan Kegiatan di Bidang Pasar Modal).

Semua saham Bursa Efek berupa saham atas nama yang mempunyai nilai nominal dan hak suara yang sama (Pasal 12 (1) Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 3/POJK.04/2021 Tentang Penyelenggaraan Kegiatan di Bidang Pasar Modal). Setiap pemegang saham Bursa Efek hanya dapat memiliki 1 (satu) saham (Pasal 12 (2) Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 3/POJK.04/2021 Tentang Penyelenggaraan Kegiatan di Bidang Pasar Modal). Perusahaan Efek pemegang saham Bursa Efek yang tidak lagi menjadi Anggota Bursa Efek, tidak dapat menggunakan hak suara atas saham yang dimilikinya (Pasal 12 (3) Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 3/POJK.04/2021 Tentang Penyelenggaraan Kegiatan di Bidang Pasar Modal).

Bursa Efek dapat menetapkan lebih dari satu jenis pasar dalam Transaksi Bursa yang dikelola dan diawasi oleh Bursa Efek (Pasal 12 Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 22/POJK.04/2019 Tentang Transaksi Efek).

Dalam hal Perusahaan Efek memilih untuk meminta Bursa Efek agar menjual saham Bursa Efek, Bursa Efek wajib membeli kembali saham Bursa Efek tersebut pada nilai nominal jika saham Bursa Efek tersebut belum terjual setelah lewatnya jangka waktu 36 (tiga puluh enam) bulan. Penjualan saham Bursa Efek dilakukan melalui mekanisme lelang yang dilaksanakan 1 (satu) kali dalam 1 (satu) bulan dalam jangka waktu 36 (tiga puluh enam) bulan berdasarkan harga pembukaan lelang yang ditetapkan oleh Perusahaan Efek (Pasal 9 (3) dan (4) Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 3/POJK.04/2021 Tentang Penyelenggaraan Kegiatan di Bidang Pasar Modal).",0
2,3. Di Bursa Efek diberlakukan system perdagangan otomatis yang dikenal dengan nama: ,"a.The Jakarta Automated Trading System
b.capital market
c.Automated Teller Machine
d.capital gain
e.Invesment Company",Jawaban : A ,"Based on the provided context, which is the Regulation of the Financial Services Authority of the Republic of Indonesia Number 3/POJK.04/2",1
3,4. Surat tanda penyertaan atau kepemilikan seseorang dan atau badan usaha dalam suatu perusahaan dIsebut  ,"a.Saham 
b.Obligasi 
c.Right 
d.Warrant
e.reksa dana ",Jawaban: A ,"The answer to your question is a. Saham.

According to the 'Peraturan Otoritas Jasa Keuangan Nomor 58/POJK.04/2017 Tentang Penyampaian Pernyataan Pendaftaran atau Pengajuan Aksi Korporasi Secara Elektronik' (Financial Services Authority Regulation No. 58/POJK.04/2017 on the Electronic Submission of Registration Statement or Corporate Action), saham (stocks) is referred to as a form of participation or ownership in a company. Specifically, it is mentioned in the definition section (Pasal 1) under point 4, where it explains that saham (stocks) is a certificate of participation or ownership in a company.",1
4,5. Surat yang berharga yang memberikan hak bagi pemodal untuk membeli saham baru yang dikeluarkan emiten adalah  ,"a.Saham
b.Obligas
c.Right 
d.Warrant
e. reksa dana",Jawaban : C ,"Based on the provided context, which is Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 22/POJK.04/2",0
5,9. Berikut ini yang bukan pelaku di pasar modal . ,"a.Emiten 
b.Perusahaan efek 
c.Reksadana 
d.BUMN
e.perusahaan publik",Jawaban : D ,"Jawab:

d. BUMN (Badan Usaha Milik Negara)

Karena BUMN merupakan entitas perusahaan yang dimiliki oleh pemerintah, dan bukan sebuah pihak yang bertransaksi di pasar modal secara langsung. Meskipun demikian, BUMN dapat terkait dengan pasar modal sebagai emiten atau perusahaan efek yang mengeluarkan saham atau obligasi.",1
6,10. Lembaga yang bertugas melaksanakan penilaian saham atau obligasi yang beredar adalah ,"a. Perusahaan Efek
b.Pemeringkat Efek
c.Biro Administrasi Efek
d.Bursa Efek
e.Kustodian ",Jawaban : B ,"Based on the provided context, which is Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 34/POJK.03/2",0
7,"11. Berikut ini merupakan manfaat bursa efek, kecuali  ","a. Untuk memperoleh bunga yang tinggi 
b. Untuk memperoleh modal dari luar sector perbankan 
c. Agar masyarakat umum dapat keuntungan perusahaan melalui kepemilikan saham 
d. Untuk melakukan ekspansi perusahaan 
e. Meningkatkan produktivitas perusahaan ",Jawaban : A ,"Based on the provided context, which includes the explanation of Undang-Undang No.8 Tahun 1995 Pasal 10, Pasal 8, Pasal 9, and Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 3/POJK.04/2",0.5
8,12. Surat bukti penyertaan modal dinamakan  ,"a.Emiten
b.Saham
c.Penyertaan
d.Investasi
e.sertifikat",Jawaban: B ,The document you are referring to is POJK Number 32/POJK.04/2,0
9,13. Salah satu fungsi Bapepam adalah  ,"a.Melakukan pemeriksaan atas laporan keuangan bagi perusahaan yang akan masuk ke bursa efek 
b.Menjamin emisi efek bagi perusahaan yang ingin menjual saham 
c.Sebagai agen (perantara) perdagangan efek 
d.Mengadakan pembinaan dan pengawasan terhadap bursa efek yang dikelola swasta 
e.Meningkatkan partisipasi mayarakat dalam pengumpulan dana di bursa efek ",Jawaban : D ,"Based on the provided context, which is the Indonesian Capital Market Law No. 8/1995, I can answer the following questions:

1. What powers does Bapepam (the Indonesian Financial Services Authority) have to investigate potential violations of the capital market law?

According to Pasal 100 Ayat (1) of Undang-Undang No.8 Tahun 1995, Bapepam has the authority to conduct investigations against any party suspected of violating the capital market law or its implementing regulations. By virtue of this power, Bapepam can collect data, information, and other evidence necessary to prove any violations.

Furthermore, Pasal 100 Ayat (2) states that during the investigation, Bapepam can request statements, confirmations, and examine records, books, and other documents from the suspected party or any other relevant parties.

1. What measures can Bapepam take once it has identified a violation of the capital market law?

Pasal 100 Ayat (2) of Undang-Undang No.8 Tahun 1995 grants Bapepam the authority to issue orders to halt any activities that constitute a violation of the capital market law or its implementing regulations. For instance, Bapepam can instruct issuers or publicly listed companies to cease misleading advertisements in mass media. Conversely, Bapepam can require specific actions to be taken if necessary to reduce losses or prevent further damage, such as mandating issuers or publicly listed companies to rectify misleading advertisements.

Additionally, Bapepam can establish terms and conditions or permit certain resolutions to address losses resulting from violations of the capital market law or its implementing regulations. Such resolutions may include legal proceedings among the involved parties.

1. What are some of the functions of Bapepam in the Indonesian capital market?

Salah satu fungsi Bapepam adalah mengadakan pembinaan dan pengawasan terhadap bursa efek yang dikelola swasta (one of Bapepam's functions is to supervise and regulate privately managed stock exchanges). This is stated in option d of the provided context.",0.5
10,15. Pasar uang merupakan pertemuan antara permintaan dan penawaran kredit  ,"a.Jangka pendek 
b.Jangka menengah
c. Jangka Panjang
d.jangka sedang
e.jangka tidak pasti",Jawaban : A ,"Pasal 41 (1), Undang-Undang Republik Indonesia Nomor 4 Tahun 2",1
11,16. Salah satu peran pasar modal adalah ,"a. Membiayai pembangunan
b. Sebagai indikator perkembangan ekonomi suatu negara
c. Menutupi defisit APBN
d. Salah satu sumber penerimaan pemerintah
e. Harga saham stabil",Jawaban : A ,"Based on the provided context, which includes the Regulation of the Financial Services Authority (OJK) Number 41/POJK.04/2020 on the Implementation of Public Offering of Equity Securities, Debt Securities, and/or Sukuk Electronically, and several articles from Undang-Undang Republik Indonesia Nomor 4 Tahun 2023 Tentang Pengembangan Dan Penguatan Sektor Keuangan (Indonesian Financial Sector Development and Strengthening Law of the Year 2023), I will answer your question.

Question: What is the role of the capital market in Indonesia?

Answer: Based on the information provided, the capital market in Indonesia has several roles, including:

1. Membiayai pembangunan (Financing development) - As mentioned in the first context, the capital market is an alternative source of funding for issuers to develop their businesses in the long term.
2. Sebagai indikator perkembangan ekonomi suatu negara (As an economic development indicator) - Although not explicitly stated in the context, the capital market can be an indicator of a country's economic development, as a well-functioning capital market can contribute to economic growth.
3. Menjamin Penawaran Umum Efek Emiten (Guaranteeing public offering of securities issuance) - According to Article 16 from the Indonesian Financial Sector Development and Strengthening Law of the Year 2023, a Securities Issuance Guarantee is a contract made by a guarantor with the issuer to guarantee the issuer's public offering of securities, with or without the obligation to buy unsold securities.
4. Mempermudah transaksi efek (Facilitating securities transactions) - Based on Article 17 from the Indonesian Financial Sector Development and Strengthening Law of the Year 2023, a Securities Trading Intermediary is a party that conducts securities trading activities for its own benefit or for others.

In summary, the capital market in Indonesia plays a role in financing development, acting as an economic development indicator, guaranteeing securities issuance, and facilitating securities transactions.",0
12,17. Peranan Bank dalam perdagangan efek adalah sebagai ... ,"a. Perantara perdagangan efek
b. Penjual efek secara langsung di bursa
c. Penjamin emisi
d. Pembeli efek
e. Penyandang dana",Jawaban : E ,"Based on the regulations provided in the context, here are the explanations of the terms related to capital market regulation in Indonesia:

1. Bursa Efek (Stock Exchange)
According to POJK No. 41/POJK.04/2020, Article 1 point 17, Bursa Efek is a party that organizes and provides a system or platform for the meeting of buying and selling securities offers from other parties with the aim of trading securities among them.
2. Lembaga Kliring dan Penjaminan (Clearing and Settlement Institution)
According to POJK No. 41/POJK.04/2020, Article 1 point 18, Lembaga Kliring dan Penjaminan is a party that provides clearing and settlement services for securities transactions.
3. Lembaga Penyimpanan dan Penyelesaian (Central Securities Depository)
According to POJK No. 41/POJK.04/2020, Article 1 point 19, Lembaga Penyimpanan dan Penyelesaian is a party that provides central custodian services for custodian banks, securities companies, and other parties.
4. Bank Kustodian (Custodian Bank)
According to POJK No. 41/POJK.04/2020, Article 1 point 20, Bank Kustodian is a commercial bank that has obtained permission from the OJK to conduct custodian business.
5. Perantara Pedagang Efek (Securities Trading Intermediary)
According to POJK No. 22/POJK.04/2019, Article 1 point 12, Perantara Pedagang Efek is a party that conducts buying and selling securities activities for its own or other parties' interests.
6. Kustodian (Custodian)
According to POJK No. 22/POJK.04/2019, Article 1 point 13, Kustodian is a party that provides safekeeping services for securities and other related assets, as well as other services, including receiving dividends, interest, and other rights, settling securities transactions, and representing account holders who are its customers.
7. Bank Kustodian (Custodian Bank)
According to POJK No. 22/POJK.04/2019, Article 1 point 14, Bank Kustodian is a commercial bank that has obtained permission from the OJK to conduct custodian business.
8. Rekening Efek (Securities Account)
According to POJK No. 22/POJK.04/2019, Article 1 point 19, Rekening Efek is a record that shows the position of securities and/or cash of the parties at the Custodian.
9. Anggota Bursa Efek (Bursa Efek Member)
According to POJK No. 22/POJK.04/2019, Article 1 point 17, Anggota Bursa Efek is a Securities Trading Intermediary that has obtained a business license from the OJK and has the right to use the Stock Exchange's system and/or facilities according to the Stock Exchange's regulations.
10. Surat Berharga Negara (State Securities)
According to POJK No. 22/POJK.04/2019, Article 1 point 18, Surat Berharga Negara is Government Securities as referred to in Law No. 24 Year 2002 on Government Securities and Government Syariah Securities as referred to in Law No. 19 Year 2008 on Government Syariah Securities.
11. Peranan Bank dalam perdagangan efek (Roles of Banks in Securities Trading)
According to POJK No. 22/POJK.04/2017, Article 1 point 17, the roles of banks in securities trading are as:
a. Securities Trading Intermediaries
b. Direct sellers of securities in the stock exchange
c. Guarantors of securities issuance
d. Securities buyers
e. Providers of underwriting services.",0
13,"18. Tempat bertemunya permintaan dan penawaran modal untuk jangka waktu yang panjang adalah, kecuali  ","a. Pasar modal 
b. Bursa efek
c. Pasar dana 
d. capital market
e. stock exchange",Jawaban : C ,"The answer is a. Pasar modal.

According to the Undang-Undang Republik Indonesia Nomor 4 Tahun 2023 about Pengembangan dan Penguatan Sektor Keuangan (Financial Sector Development and Strengthening Act No. 4 of 2023), Pasal 22, Bab V, Pasar Modal, Paragraph (2), Point c, the regulation states that the rules for public offering as mentioned in Paragraph (1) do not apply to the issuance of debt securities and sukuk by the Deposit Insurance Agency specifically for professional investors to carry out their duties. This indicates that the Deposit Insurance Agency can act as an issuer in a long-term capital market, which is referred to as ""Pasar modal"" in the regulation.",0
14,19. Berikut yang tidak termasuk perbedaan antara pasar perdana dan pasar sekunder adalah  ,"a. pada pasar perdana harga tidak berubah, sedangkan pada pasar sekunder harga ditentukan oleh mekanisme pasar
b. transaksi perdagangan di pasar sekunder tidak dikenakan biaya komisi, sedangkanpasar perdana terdapat biaya komisi
c. pada pasar perdana hanya terjadi pembelian saham sedangkan di pasar sekunder dapat terjadi jual beli saham
d. Dari sudut pandang jangka waktu, pasar perdana memiliki batas waktu, sedangkan pasar sekunder tidak
e. Di pasar sekunder semua transaksi harus melalui pialang sedangkan pada pasar perdana tidak demikian",Jawaban : B ,"Based on the regulations you've provided, here are the answers to the questions:

1. What is the definition of Penitipan Kolektif, Penjamin Emisi Efek, Perantara Pedagang Efek, and Pernyataan Pendaftaran according to the Financial Sector Development and Strengthening Law of the Republic of Indonesia No. 4 Year 2023?

Penitipan Kolektif is a service of safekeeping securities and/or funds owned jointly by more than one party, represented by the Custodian. Penjamin Emisi Efek is a party that makes a contract with the Issuer to guarantee the Issuer's Public Offering of Securities, with or without the obligation to buy the remaining unsold Securities. Perantara Pedagang Efek is a party that conducts buying and selling Securities activities for its own interest or for others. Pernyataan Pendaftaran is a document that must be submitted to the Financial Services Authority by the Issuer in the context of a Public Offering or Public Company.

Reference: Undang-Undang Republik Indonesia Nomor 4 Tahun 2023 Tentang Pengembangan dan Penguatan Sektor Keuangan, Pasal 1.

2. What is the prohibition regarding Securities transactions according to the Financial Sector Development and Strengthening Law of the Republic of Indonesia No. 4 Year 2023?

According to the Financial Sector Development and Strengthening Law of the Republic of Indonesia No. 4 Year 2023, it is prohibited to conduct two or more Securities transactions, either directly or indirectly, that create a fixed, increasing, or decreasing price of Securities, both on the Stock Exchange and outside the Stock Exchange, with the purpose of benefiting oneself or others. It is also prohibited to make false or misleading statements or provide false or misleading information that may affect the price of Securities if the statement is made or the information is provided when the person knows or should know that the statement or information is false or misleading.

References: Undang-Undang Republik Indonesia Nomor 4 Tahun 2023 Tentang Pengembangan dan Penguatan Sektor Keuangan, Pasal 92 and 93.

3. What is not included as a difference between the primary market and the secondary market?

The option ""pada pasar perdana harga tidak berubah, sedangkan pada pasar sekunder harga ditentukan oleh mekanisme pasar"" is not correct. In the primary market, the price is usually fixed by the issuer, while in the secondary market, the price is determined by market forces.

Reference: Undang-Undang Republik Indonesia Nomor 4 Tahun 2023 Tentang Pengembangan dan Penguatan Sektor Keuangan, Bab V, Pasal 20.

I hope this information is helpful! Let me know if you have any further questions.",0
15,"20. Berikut istilah yang berarti perusahaan menerbitkan saham untuk pertama kali kepada masyarakat, kecuali  ","a. go public 
b. IPO
c. investasi modal
d. pasar perdana
e. primary market",Jawaban : C ,"Based on the provided context, which is POJK (Otoritas Jasa Keuangan Regulation) Number 15/POJK.04/2",0
16,21. Bentuk perusahaan yang diperbolehkan untuk menerbitkan saham adalah  ,"a. perusahaan perorangan
b. firma 
c. CV 
d. perseroan terbatas
e. perusahaan daerah",Jawaban : D ,"Based on the provided context, which is Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 15/POJK.04/2",0
17,"23. Dari beberapa fungsi pasar modal di bawah ini, yang secara langsung menguntungkan pemerintah adalah  ","a. sarana untuk mendapatkan tambahan modal 
b. sarana pemerataan pendapatan
c. memperbesar produksi nasional
d. meningkatkan pemasukan pajak
e. meminimalkan jumlah pengangguran",Jawaban : D ,Pasal 12 ayat (1) Undang-Undang Republik Indonesia Nomor 4 Tahun 2,0
18,24. Di bawah ini fungsi pasar modal di Indonesia yaitu  ,"a. sarana untuk mendapatkan tambahan modal 
b. sarana pemusatan pendapatan masyarakat
c. meningkatkan upah buruh
d. mengurangi pemasukan pajak untuk pemerintah
e. memperoleh pengakuan Negara lain tentang keberhasilan pembangunan Indonesia ",Jawaban : A ,"Based on the provided regulation, Undang-Undang Republik Indonesia Nomor 4 Tahun 2",0
19,"25. Berikut adalah keuntungan seseorang yang memiliki saham, kecuali  ","a. mendapat pembagian keuntungan
b. memiliki sebagian kecil perusahaan
c. gaji meningkat
d. memperoleh capital gain 
e. menerima deviden",Jawaban : C ,"Based on the provided context, which is Peraturan Otoritas Jasa Keuangan Nomor 2",0
20,"26. Pasar modal yang terdapat di Indonesia ada dua, yaitu  ","a. Bursa Efek Indonsia (BEI) dan Bursa Efek Makasar (BEM) 
b. Bursa Efek Indonesia (BEI) dan Bursa Efek Surabaya (BES) 
c. Bursa Efek Makasar (BEM) dan Bursa Efek Surabaya (BES) 
d. Bursa Efek Samarinda (BES) dan Bursa Efek Jakarta (BEJ) 
e. Bursa Efek Semarang (BES) dan Bursa Efek Yogyakarta ",Jawaban : B ,"Based on the provided context, which is Undang-Undang Republik Indonesia Nomor 4 Tahun 2",0
21,"27. Resiko membeli saham suatu perusahaan adalah sebagai berikut, kecuali  ","a. Tidak mendapat deviden
b. Mendapat capital gain 
c. Perusahan bangkrutatu dilikuidasi
d. Saham dihpucatatkan dari bursa efek (delisting) 
e. Capital loss ",Jawaban: B ,"The regulations mentioned in the context are:

1. POJK No. 30/POJK.04/2",0
22,"28. Di bawah ini yang termasuk contoh effek, kecuali  ","a. obligasi
b. surat pengkuan utang
c. kuitansi
d. tanda bukti uang
e. saham",Jawaban : C ,Pasal 25 ayat (2) Peraturan Otoritas Jasa Keuangan Nomor 11/POJK.04/2,0
