,answer
0,"Dalam peraturan Otoritas Jasa Keuangan, yang dimaksud dengan:
1. Efek adalah surat berharga, yaitu surat pengakuan utang, surat berharga komersial, saham, obligasi, tanda bukti utang, unit penyertaan kontrak investasi kolektif, kontrak berjangka atas Efek, dan setiap derivatif dari Efek.
2. Penawaran Umum adalah kegiatan penawaran Efek yang dilakukan oleh emiten untuk menjual Efek kepada masyarakat berdasarkan tata cara yang diatur dalam Undang-Undang Nomor 8 Tahun 1995 tentang Pasar Modal dan peraturan pelaksanaannya.
3. Emiten adalah Pihak yang melakukan Penawaran Umum.

Regulasi yang mengatur hal ini adalah Peraturan Otoritas Jasa Keuangan Nomor 1/POJK.04/2013 tentang Penawaran Umum Efek atau Peraturan Otoritas Jasa Keuangan Nomor 1/POJK.04/2020 tentang Penawaran Umum Efek atau Peraturan Otoritas Jasa Keuangan Nomor 1/POJK.04/2021 tentang Penawaran Umum Efek."
1,"Dalam rangka penawaran umum oleh emiten atau pemasaran efek, perusahaan efek dilarang untuk memberikan gambaran yang menyesatkan mengenai efek yang ditawarkan. Hal ini diatur dalam Pasal 6 Undang-Undang Nomor 8 Tahun 1995 tentang Pasar Modal dan peraturan pelaksanaannya."
2,"Kewajiban promosi pemasaran efek diatur dalam Peraturan Otoritas Jasa Keuangan (POJK) Nomor 7/POJK.04/2019 tentang Promosi Pemasaran Efek Termasuk Iklan, Brosur, atau Komunikasi Lainnya kepada Publik. 

Pasal 3 POJK tersebut menyatakan bahwa promosi pemasaran efek wajib memuat informasi bahwa efek tertentu yang dipromosikan hanya cocok untuk kelompok pemodal tertentu, serta mengungkapkan risiko yang berhubungan dengan investasi atas efek tersebut.

Selain itu, Pasal 4 POJK menyatakan bahwa dalam hal promosi pemasaran efek memuat rekomendasi untuk membeli, menjual, atau menahan efek tertentu, promosi pemasaran efek wajib memuat informasi seperti tanggal rekomendasi, harga pasar pada saat rekomendasi dibuat, pihak yang memberikan rekomendasi, dan keterangan apakah pihak yang memberikan rekomendasi atau pihak terafiliasinya telah memperdagangkan efek tersebut untuk rekeningnya secara reguler atau memiliki efek tersebut dengan nilai paling sedikit Rp25.000.000,00 (dua puluh lima juta rupiah).

Jadi, kewajiban promosi pemasaran efek meliputi memberikan informasi tentang kelompok pemodal tertentu yang cocok untuk efek tersebut, mengungkapkan risiko yang terkait dengan investasi efek tersebut, serta memuat informasi yang lengkap jika terdapat rekomendasi untuk membeli, menjual, atau menahan efek tertentu."
3,"Dalam promosi pemasaran efek, informasi yang harus dimuat meliputi:

1. Pendapat, proyeksi, atau ramalan mengenai efek tertentu harus diungkapkan secara jelas (Pasal 5).
2. Dalam rangka Penawaran Umum, promosi pemasaran efek harus memuat informasi bahwa pemodal hanya dapat melakukan pemesanan pembelian efek setelah memperoleh Prospektus atau memperoleh kesempatan untuk membaca Prospektus, dan setelah Pernyataan Pendaftaran efektif (Pasal 6).
3. Promosi pemasaran efek wajib memuat informasi bahwa efek tertentu yang dipromosikan hanya cocok untuk kelompok pemodal tertentu, serta mengungkapkan risiko yang berhubungan dengan investasi atas efek tersebut (Pasal 3).
4. Jika promosi pemasaran efek memuat rekomendasi untuk membeli, menjual, atau menahan efek tertentu, promosi tersebut wajib memuat informasi tanggal rekomendasi, harga pasar pada saat rekomendasi dibuat, pihak yang memberikan rekomendasi, dan keterangan apakah pihak yang memberikan rekomendasi atau pihak terafiliasinya telah memperdagangkan efek tersebut untuk rekeningnya secara reguler atau memiliki efek tersebut dengan nilai paling sedikit Rp25.000.000,00 (Pasal 4).

Informasi ini diatur dalam Peraturan Otoritas Jasa Keuangan Nomor 7/POJK.04/2019 tentang Promosi Pemasaran Efek Termasuk Iklan, Brosur, atau Komunikasi Lainnya kepada Publik."
4,"Otoritas Jasa Keuangan dapat mengumumkan pengenaan sanksi administratif sesuai dengan Pasal 7, Pasal 11, dan Pasal 18."
5,"Dalam hal promosi pemasaran efek, informasi yang harus dimuat adalah:

1. Pasal 3: Promosi pemasaran efek wajib memuat informasi bahwa efek tertentu yang dipromosikan hanya cocok untuk kelompok pemodal tertentu dan mengungkapkan risiko yang berhubungan dengan investasi atas efek tersebut.

2. Pasal 4: Jika promosi pemasaran efek memuat rekomendasi untuk membeli, menjual, atau menahan efek tertentu, promosi tersebut wajib memuat informasi tanggal rekomendasi, harga pasar pada saat rekomendasi dibuat, pihak yang memberikan rekomendasi, dan keterangan apakah pihak yang memberikan rekomendasi atau pihak terafiliasinya telah memperdagangkan efek tersebut untuk rekeningnya secara reguler atau memiliki efek tersebut dengan nilai paling sedikit Rp25.000.000,00.

3. Pasal 5: Jika promosi pemasaran efek memuat pendapat, proyeksi, atau ramalan mengenai efek tertentu, pendapat, proyeksi, atau ramalan tersebut wajib diungkapkan secara jelas.

4. Pasal 6: Dalam rangka Penawaran Umum, promosi pemasaran efek wajib memuat informasi bahwa pemodal hanya dapat melakukan pemesanan pembelian efek setelah pemodal tersebut memperoleh Prospektus atau memperoleh kesempatan untuk membaca Prospektus, dan setelah Pernyataan Pendaftaran efektif.

Informasi-informasi tersebut diatur dalam Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7/POJK.04/2019 tentang Promosi Pemasaran Efek Termasuk Iklan, Brosur, atau Komunikasi Lainnya."
6,"Dalam hal promosi pemasaran efek, yang wajib diungkapkan secara jelas adalah pendapat, proyeksi, atau ramalan mengenai efek tertentu. Hal ini diatur dalam Pasal 5 Peraturan Otoritas Jasa Keuangan (POJK) Nomor 7/POJK.04/2019 tentang Promosi Pemasaran Efek Termasuk Iklan, Brosur, atau Komunikasi Lainnya kepada Publik."
7,"Sanksi administratif yang dimaksud pada ayat (1) adalah sanksi yang dijatuhkan kepada pelanggaran dalam regulasi pasar modal di Indonesia. Sanksi administratif tersebut dapat berupa peringatan tertulis, denda, pembatasan kegiatan usaha, pembekuan kegiatan usaha, pencabutan izin usaha, pembatalan persetujuan, dan pembatalan pendaftaran."
8,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda."
9,"Prospektus, Prospektus Awal, dan Prospektus Ringkas adalah dokumen yang digunakan dalam Penawaran Umum Efek di Indonesia. 

1. Prospektus adalah dokumen tertulis yang memuat informasi lengkap tentang Emiten, Efek yang ditawarkan, serta risiko dan informasi penting lainnya yang relevan bagi calon investor. Prospektus ini disampaikan kepada Otoritas Jasa Keuangan (OJK) sebagai bagian dari Pernyataan Pendaftaran.

2. Prospektus Awal adalah dokumen tertulis yang memuat seluruh informasi dalam Prospektus, kecuali informasi mengenai nilai nominal, jumlah dan harga penawaran Efek, penjaminan emisi Efek, tingkat suku bunga obligasi, atau hal lain yang berhubungan dengan persyaratan penawaran yang belum dapat ditentukan. Prospektus Awal ini digunakan sebagai ajakan kepada calon pembeli untuk mengetahui minat mereka atas Efek yang akan ditawarkan.

3. Prospektus Ringkas adalah ringkasan dari isi Prospektus Awal. Dokumen ini memuat informasi penting yang relevan bagi calon investor, seperti informasi tentang penawaran Efek, penggunaan dana yang diperoleh, data keuangan penting, analisis pembahasan manajemen, faktor risiko, kejadian penting setelah tanggal laporan akuntan publik, informasi tentang Emiten dan Perusahaan Anak, tata cara pemesanan Efek, dan penyebarluasan Prospektus dan formulir pemesanan pembelian Efek.

Regulasi terkait prospektus di Indonesia antara lain diatur dalam Peraturan Otoritas Jasa Keuangan (POJK) Nomor 32/POJK.04/2015 tentang Penawaran Umum Efek dan Transaksi Efek yang Tercatat di Bursa Efek."
10,Perusahaan Terbuka adalah emiten yang telah melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik. Hal ini diatur dalam Pasal 1 angka 1 Peraturan Otoritas Jasa Keuangan Nomor 9/POJK.04/2018 tentang Pengambilalihan Perusahaan Terbuka.
11,"Pemegang Saham Independen adalah pemegang saham yang tidak mempunyai kepentingan ekonomis pribadi sehubungan dengan suatu transaksi tertentu dan bukan merupakan anggota direksi, anggota dewan komisaris, pemegang saham utama, dan Pengendali, atau bukan merupakan Afiliasi dari anggota direksi, anggota dewan komisaris, pemegang saham utama, dan Pengendali. Hal ini diatur dalam Pasal 29 dalam Undang-Undang mengenai pasar modal dan peraturan pelaksanaannya."
12,Perusahaan Terbuka wajib menyelenggarakan RUPS paling lambat 6 (enam) bulan setelah tanggal penilaian studi kelayakan sebagaimana dimaksud dalam Pasal 23 huruf a dan tanggal pelaksanaan RUPS sebagaimana dimaksud dalam Pasal 22 ayat (1) huruf a. Hal ini diatur dalam Pasal 25 (1) Undang-Undang Nomor 8 Tahun 1995 tentang Pasar Modal.
13,"Permintaan penyelenggaraan RUPS yang terdapat pada ayat (1) adalah:

a. Permintaan penyelenggaraan RUPS dari Dewan Komisaris yang tidak diselenggarakan.
b. Alasan tidak diselenggarakannya RUPS."
14,"Kewajiban Direksi adalah sebagai berikut:
1. Menjalankan dan bertanggung jawab atas pengurusan Emiten atau Perusahaan Publik untuk kepentingan Emiten atau Perusahaan Publik sesuai dengan maksud dan tujuan Emiten atau Perusahaan Publik yang ditetapkan dalam anggaran dasar. (Pasal 12 ayat (1) Undang-Undang Nomor 8 Tahun 1995 tentang Pasar Modal)
2. Menyelenggarakan Rapat Umum Pemegang Saham (RUPS) tahunan dan RUPS lainnya sesuai dengan peraturan perundang-undangan dan anggaran dasar. (Pasal 12 ayat (2) Undang-Undang Nomor 8 Tahun 1995 tentang Pasar Modal)
3. Melaksanakan tugas dan tanggung jawab dengan itikad baik, penuh tanggung jawab, dan kehati-hatian. (Pasal 12 ayat (3) Undang-Undang Nomor 8 Tahun 1995 tentang Pasar Modal)
4. Membentuk unit kerja atau komite yang diperlukan untuk membantu pelaksanaan tugas Direksi. (Pasal 12 ayat (4) Undang-Undang Nomor 8 Tahun 1995 tentang Pasar Modal)
5. Melaksanakan fungsi kepatuhan dan manajemen risiko jika ditunjuk sebagai penanggung jawab penerapan program APU dan PPT. (Pasal 12 ayat (4) huruf g Peraturan Otoritas Jasa Keuangan Nomor 33/POJK.04/2014 tentang Direksi dan Dewan Komisaris Emiten atau Perusahaan Publik)
6. Melaksanakan kegiatan yang merupakan rekomendasi dari Dewan Komisaris dan/atau hasil pengawasan Otoritas Jasa Keuangan. (Pasal 12 ayat (4) huruf f Peraturan Otoritas Jasa Keuangan Nomor 33/POJK.04/2014 tentang Direksi dan Dewan Komisaris Emiten atau Perusahaan Publik)
7. Melakukan tindak lanjut terhadap rekomendasi fungsi manajemen risiko, kepatuhan, audit internal, temuan audit eksternal, dan hasil pengawasan Dewan Pengawas Syariah jika terdapat Dewan Pengawas Syariah. (Pasal 12 ayat (4) huruf h Peraturan Otoritas Jasa Keuangan Nomor 33/POJK.04/2014 tentang Direksi dan Dewan Komisaris Emiten atau Perusahaan Publik)"
15,Hal yang wajib diumumkan oleh Direksi adalah kehadiran anggota Direksi dalam rapat Direksi sebagaimana diatur dalam Pasal 16 ayat (4) dan ayat (3) yang wajib diungkapkan dalam laporan tahunan Emiten atau Perusahaan Publik. Hal ini diatur dalam Pasal 16 ayat (4) Peraturan Otoritas Jasa Keuangan (POJK) No. 31/POJK.04/2015 tentang Rapat Direksi Emiten atau Perusahaan Publik.
16,Pasal 7 mengatur bahwa pemegang saham yang telah memperoleh penetapan pengadilan untuk menyelenggarakan RUPS wajib menyelenggarakan RUPS.
17,"Pasal 11 tentang tempat dan waktu penyelenggaraan RUPS menyatakan bahwa:

(1) RUPS wajib diselenggarakan di wilayah Negara Republik Indonesia.
(2) Perusahaan Terbuka wajib menentukan tempat dan waktu penyelenggaraan RUPS.
(3) Tempat penyelenggaraan RUPS dapat dilakukan di:
   a. tempat kedudukan Perusahaan Terbuka;
   b. tempat Perusahaan Terbuka melakukan kegiatan usaha utamanya;
   c. ibukota provinsi tempat kedudukan atau tempat kegiatan usaha utama Perusahaan Terbuka; atau
   d. provinsi tempat kedudukan bursa efek yang mencatatkan saham Perusahaan Terbuka.

Regulasi yang mengatur hal ini adalah Undang-Undang Nomor 8 Tahun 1995 tentang Pasar Modal, Pasal 11."
18,"Kewajiban perusahaan terbuka dalam memenuhi ketentuan penyelenggaraan RUPS adalah sebagai berikut:

1. Memperoleh persetujuan RUPS terlebih dahulu sebelum melakukan perubahan kegiatan usaha. (Pasal 22(1)(a))
2. Menggunakan Penilai untuk melakukan studi kelayakan atas perubahan kegiatan usaha. (Pasal 22(1)(b))
3. Mengumumkan keterbukaan informasi mengenai rencana perubahan kegiatan usaha kepada pemegang saham bersamaan dengan pengumuman RUPS. (Pasal 22(1)(c))
4. Menyediakan data tentang perubahan kegiatan usaha tersebut bagi pemegang saham sejak saat pengumuman RUPS. (Pasal 22(1)(d))
5. Menyampaikan keterbukaan informasi dan dokumen pendukungnya kepada Otoritas Jasa Keuangan paling lambat pada saat pengumuman RUPS. (Pasal 22(1)(e))

Selain itu, penyelenggaraan RUPS juga harus dilakukan sesuai dengan Peraturan Otoritas Jasa Keuangan mengenai rencana dan penyelenggaraan rapat umum pemegang saham perusahaan terbuka. (Pasal 22(2))"
19,"Pada ayat (1) Pasal 14, pengumuman RUPS harus memuat paling sedikit:
a. ketentuan pemegang saham yang berhak hadir dalam RUPS;
b. ketentuan pemegang saham yang berhak hadir melalui kuasa;
c. tanggal, waktu, dan tempat penyelenggaraan RUPS;
d. agenda rapat yang akan dibahas dalam RUPS;
e. persyaratan untuk dapat menghadiri RUPS;
f. persyaratan untuk dapat memberikan kuasa melalui e-RUPS;
g. persyaratan untuk dapat mengajukan pertanyaan dalam RUPS;
h. persyaratan untuk dapat mengajukan usul dalam RUPS;
i. persyaratan untuk dapat mengajukan usul pemilihan anggota Direksi dan/atau Dewan Komisaris;
j. persyaratan untuk dapat mengajukan usul perubahan anggaran dasar;
k. persyaratan untuk dapat mengajukan usul perubahan kebijakan Dividen;
l. persyaratan untuk dapat mengajukan usul perubahan kebijakan remunerasi;
m. persyaratan untuk dapat mengajukan usul perubahan kebijakan pengelolaan risiko;
n. persyaratan untuk dapat mengajukan usul perubahan kebijakan pengelolaan lingkungan;
o. persyaratan untuk dapat mengajukan usul perubahan kebijakan pengelolaan sosial;
p. persyaratan untuk dapat mengajukan usul perubahan kebijakan pengelolaan tata kelola perusahaan;
q. persyaratan untuk dapat mengajukan usul perubahan kebijakan pengelolaan keberlanjutan; dan
r. persyaratan untuk dapat mengajukan usul perubahan kebijakan pengelolaan keberlanjutan. (Pasal 14 ayat (1) Peraturan Otoritas Jasa Keuangan No. 32/POJK.04/2015 tentang Rencana dan Penyelenggaraan Rapat Umum Pemegang Saham Perusahaan Terbuka)"
20,"Transaksi material adalah transaksi yang memiliki nilai yang signifikan dan memenuhi kriteria tertentu sesuai dengan ketentuan yang diatur dalam Peraturan Otoritas Jasa Keuangan (POJK) mengenai Transaksi Material. Dalam konteks yang diberikan, terdapat dua ketentuan yang mengatur transaksi material, yaitu:

1. Pasal 3 POJK No. 17/POJK.04/2020 tentang Transaksi Material pada Emiten atau Perusahaan Publik:
   - Ayat (1) menyebutkan bahwa suatu transaksi dikategorikan sebagai Transaksi Material apabila nilai transaksi sama dengan 20% (dua puluh persen) atau lebih dari ekuitas Perusahaan Terbuka.
   - Ayat (2) menyebutkan bahwa transaksi berupa perolehan dan pelepasan atas perusahaan atau segmen operasi dikategorikan sebagai Transaksi Material dalam hal:
     a. nilai transaksi sama dengan 20% (dua puluh persen) atau lebih dari ekuitas Perusahaan Terbuka;
     b. total aset yang menjadi objek transaksi dibagi total aset Perusahaan Terbuka nilainya sama dengan atau lebih dari 20% (dua puluh persen);
     c. laba bersih objek transaksi dibagi dengan laba bersih Perusahaan Terbuka nilainya sama dengan atau lebih dari 20% (dua puluh persen); atau
     d. pendapatan usaha objek transaksi dibagi dengan pendapatan usaha Perusahaan Terbuka nilainya sama dengan atau lebih dari 20% (dua puluh persen).

2. Pasal 4 POJK No. 17/POJK.04/2020 tentang Transaksi Material pada Emiten atau Perusahaan Publik:
   - Ayat (1) menyebutkan bahwa nilai transaksi material dihitung berdasarkan laporan keuangan yang terkini, yaitu laporan keuangan tahunan yang diaudit, laporan keuangan triwulanan yang disertai laporan akuntan atas hasil reviu atau audit, atau laporan keuangan interim selain laporan keuangan triwulanan yang diaudit.
   - Ayat (2) menyebutkan bahwa jika laporan keuangan yang digunakan untuk menentukan nilai transaksi material belum disampaikan ke Otoritas Jasa Keuangan, Perusahaan Terbuka wajib menyampaikan laporan keuangan tersebut.

Jadi, transaksi material adalah transaksi yang memiliki nilai yang signifikan dan memenuhi kriteria tertentu sesuai dengan ketentuan yang diatur dalam POJK No. 17/POJK.04/2020 tentang Transaksi Material pada Emiten atau Perusahaan Publik."
21,Suatu transaksi dikategorikan sebagai Transaksi Material apabila nilai transaksi sama dengan 20% (dua puluh persen) atau lebih dari ekuitas Perusahaan Terbuka. Hal ini diatur dalam Pasal 3 ayat (1) Peraturan Otoritas Jasa Keuangan (POJK) No. 17/POJK.04/2020 tentang Transaksi Material dan Transaksi Khusus Perusahaan Terbuka.
22,"Perusahaan Terbuka yang akan melakukan Transaksi Material wajib memenuhi beberapa hal sebagai berikut:

1. Menggunakan Penilai untuk menentukan nilai wajar dari objek Transaksi Material dan/atau kewajaran transaksi tersebut.
2. Mengumumkan keterbukaan informasi atas setiap Transaksi Material kepada masyarakat.
3. Menyampaikan keterbukaan informasi dan dokumen pendukungnya kepada Otoritas Jasa Keuangan.
4. Memperoleh persetujuan Rapat Umum Pemegang Saham (RUPS) terlebih dahulu dalam hal:
   a. Transaksi Material sebesar lebih dari 50% (lima puluh persen) dari total aset Perusahaan Terbuka, baik untuk Transaksi Material yang tidak memerlukan persetujuan RUPS maupun yang memerlukan persetujuan RUPS.
   b. Transaksi Material sebesar lebih dari 25% (dua puluh lima persen) dari total aset Perusahaan Terbuka, jika Transaksi Material tersebut memerlukan persetujuan RUPS.
   c. Laporan Penilai menyatakan bahwa Transaksi Material yang akan dilakukan memenuhi kriteria sebagaimana dimaksud dalam Pasal 3.

Selain itu, Perusahaan Terbuka juga diwajibkan untuk melakukan pengungkapan informasi Transaksi Material dalam laporan tahunan atau laporan keuangan tahunan. Pengungkapan tersebut harus mencakup informasi mengenai objek transaksi, pihak yang bertransaksi, dan nilai transaksi (Pasal 13 ayat 2 Undang-Undang Nomor 8 Tahun 1995 tentang Pasar Modal)."
23,Hal wajib dari keterbukaan informasi yang terdapat pada ayat 2 adalah pengumuman keterbukaan informasi dalam situs web Emiten Skala Kecil atau Emiten Skala Menengah atau situs web Penjamin Emisi Efek (jika menggunakan Penjamin Emisi Efek).
24,Transaksi Material dilakukan oleh Perusahaan Terbuka. (Pasal 4 ayat (1))
